ID + pdf_title,ID,post_title,post_name,guid,pdf_id,pdf_title,pdf_url_original,pdf_url,equal?
912Fibrcasestudyfinaloct2018,912,Tracking Churn to get to Profitability,tracking-churn-to-get-to-profitability,https://bfaglobal.com/?p=912,1,Fibrcasestudyfinaloct2018,https://bfaglobal.com/wp-content/uploads/2020/01/fibrcasestudyfinaloct2018.pdf,https://bfaglobal.com/wp-content/uploads/2020/01/FIBRCASESTUDYFINALOct2018.pdf,TRUE
912Fibr+case+study+final+oct+2018,912,Tracking Churn to get to Profitability,tracking-churn-to-get-to-profitability,https://bfaglobal.com/?p=912,2,Fibr+case+study+final+oct+2018,https://static1.squarespace.com/static/5682a94969a91ad70f60a07c/t/5bcdc5147817f7df50a74a85/1540212096676/fibr+case+study+final+oct+2018.pdf,https://bfaglobal.com/wp-content/uploads/2020/01/FIBRCASESTUDYFINALOct2018.pdf,FALSE
9990403 col,999,Why Low-Income Families Don’t Send Their Children to College. Hint: It’s Not Always About Money,why-low-income-families-dont-send-their-children-to-college-hint-its-not-always-about-money,https://bfaglobal.com/?p=999,1,0403 col,http://www.housingfinance.org/uploads/publicationsmanager/0403_col.pdf,http://www.housingfinance.org/uploads/Publicationsmanager/0403_Col.pdf,TRUE
1008Forum-strange-beasts-jan-2018,1008,Timing Isn’t Quite Right for SaaS Startups in Africa,timing-isnt-quite-right-for-saas-startups-in-africa,https://bfaglobal.com/?p=1008,1,Forum-strange-beasts-jan-2018,http://www.cgap.org/sites/default/files/forum-strange-beasts-jan-2018.pdf,http://www.cgap.org/sites/default/files/Forum-Strange-Beasts-Jan-2018.pdf,TRUE
16488Digital-savings-group-pilot-report-april-2018,16488,Digital Savings Groups,digital-savings-groups,https://bfaglobal.com/?p=16488,1,Digital-savings-group-pilot-report-april-2018,https://bfaglobal.com/wp-content/uploads/2018/09/digital-savings-group-pilot-report-april-2018.pdf,https://bfaglobal.com/wp-content/uploads/2018/09/Digital-Savings-Group-pilot-report-April-2018.pdf,TRUE
16488Fsdt blog digital-savings final,16488,Digital Savings Groups,digital-savings-groups,https://bfaglobal.com/?p=16488,2,Fsdt blog digital-savings final,https://bfaglobal.com/wp-content/uploads/2018/09/fsdt_blog_digital-savings_final.pdf,https://bfaglobal.com/wp-content/uploads/2018/09/FSDT_Blog_Digital-Savings_final.pdf,TRUE
16488Fsdt casestudy singlesourcesolutions final spreads,16488,Digital Savings Groups,digital-savings-groups,https://bfaglobal.com/?p=16488,3,Fsdt casestudy singlesourcesolutions final spreads,https://bfaglobal.com/wp-content/uploads/2018/09/fsdt_casestudy_singlesourcesolutions_final_spreads.pdf,https://bfaglobal.com/wp-content/uploads/2018/09/FSDT_CaseStudy_SingleSourceSolutions_final_Spreads.pdf,TRUE
16488Fsdt blog messyagile final,16488,Digital Savings Groups,digital-savings-groups,https://bfaglobal.com/?p=16488,4,Fsdt blog messyagile final,https://bfaglobal.com/wp-content/uploads/2018/09/fsdt_blog_messyagile_final.pdf,https://bfaglobal.com/wp-content/uploads/2018/09/FSDT_Blog_MessyAgile_final.pdf,TRUE
16488Fsdt blog emotionalgateway final,16488,Digital Savings Groups,digital-savings-groups,https://bfaglobal.com/?p=16488,5,Fsdt blog emotionalgateway final,https://bfaglobal.com/wp-content/uploads/2018/09/fsdt_blog_emotionalgateway_final.pdf,https://bfaglobal.com/wp-content/uploads/2018/09/FSDT_Blog_EmotionalGateway_final.pdf,TRUE
16488Akf-infographic-oct-2018-final,16488,Digital Savings Groups,digital-savings-groups,https://bfaglobal.com/?p=16488,6,Akf-infographic-oct-2018-final,https://bfaglobal.com/wp-content/uploads/2018/09/akf-infographic-oct-2018-final.pdf,https://bfaglobal.com/wp-content/uploads/2018/09/AKF-Infographic-Oct-2018-Final.pdf,TRUE
